assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,437626,None,,0,0,0,0,0.0,375,178,None,,0,2,0.0,0.0,0,Nuno,0.0,0,0,0.0,383,179,17,False,0.0,376,179,0,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,45,0,0,None,0,,437626.jpg,0.0,0,0,Varela Tavares,0.0,False,None,u,1,3,0.0,351,171,0,0,0,399,399,0.0,0.0,Tavares,0
0,0,3,None,None,0,437742,None,,0,0,0,0,0.0,376,128,None,,0,3,1.5,1.5,1,Albert,1.0,0,0,0.0,384,128,18,False,0.0,377,123,1,,None,45,0,0,None,0,,437742.jpg,1.0,0,0,Sambi Lokonga,0.3,False,None,a,1,3,0.0,352,114,1,1053,1053,1053,1053,0.2,0.2,Sambi,0
0,0,23,None,None,1,444145,4,,0,0,0,0,15.2,51,33,5,,0,3,2.7,2.7,8,Gabriel,8.0,0,1,9.2,14,9,19,False,38.2,17,7,90,,None,60,0,0,2,0,,444145.jpg,8.0,0,0,Martinelli Silva,23.1,False,None,a,1,3,39.0,15,8,8,93518,93518,9896,9896,1.3,1.3,Martinelli,0
0,0,0,None,None,0,92371,None,,0,0,0,0,0.0,276,126,None,,0,2,2.4,2.4,0,Pablo,0.0,0,0,0.0,291,129,20,False,0.0,282,128,0,,None,45,0,0,None,0,,92371.jpg,0.0,0,0,Marí Villar,0.1,False,None,a,1,3,0.0,238,106,0,58,58,345,345,0.0,0.0,Pablo Marí,0
0,0,0,None,None,0,154043,None,,0,0,0,0,0.0,447,168,None,,0,3,2.1,2.1,0,Ainsley,0.0,0,0,0.0,449,167,21,False,0.0,444,164,0,,None,50,0,0,None,0,,154043.jpg,0.0,0,0,Maitland-Niles,0.1,False,None,a,1,3,0.0,427,157,0,142,142,499,499,0.0,0.0,Maitland-Niles,0
0,0,0,None,None,0,198849,None,,0,0,0,0,0.0,327,109,None,,0,3,1.5,1.5,0,Lucas,0.0,0,0,0.0,338,109,22,False,0.0,329,104,0,,None,45,0,0,None,0,,198849.jpg,0.0,0,0,Torreira di Pascua,0.5,False,None,a,1,3,0.0,295,95,0,1237,1237,3167,3167,0.0,0.0,Torreira,0
0,0,0,None,None,0,200641,None,,0,0,0,0,0.0,462,180,None,,0,3,2.1,2.1,0,Reiss,0.0,0,0,0.0,464,179,23,False,0.0,459,176,0,,None,50,0,0,None,0,,200641.jpg,0.0,0,0,Nelson,0.0,False,None,a,1,3,0.0,448,171,0,44,44,205,205,0.0,0.0,Nelson,0
0,0,0,None,None,0,224068,None,,0,0,0,0,0.0,221,22,None,,0,1,1.5,1.5,0,Matt,0.0,0,0,0.0,237,36,24,False,0.0,228,36,0,,None,40,0,0,None,0,,224068.jpg,0.0,0,0,Turner,0.8,False,None,a,1,3,0.0,179,22,0,1190,1190,2039,2039,0.0,0.0,Turner,0
0,0,0,75,75,0,438098,None,,0,0,0,0,0.0,532,228,None,,0,3,2.0,2.0,0,Fábio,0.0,0,0,0.0,532,228,25,False,0.0,531,227,0,Lack of match fitness - 75% chance of playing,2022-08-04T15:00:05.309562Z,60,0,0,None,0,,438098.jpg,0.0,0,0,Ferreira Vieira,0.2,False,None,d,1,3,0.0,531,228,0,44,44,1817,1817,0.0,0.0,Fábio Vieira,0
0,2,30,None,None,1,462424,None,,0,0,0,0,0.1,178,66,None,,0,2,2.4,2.4,8,William,8.0,0,0,2.2,119,44,26,False,22.0,48,19,90,,None,45,0,0,None,0,,462424.jpg,8.0,0,0,Saliba,3.2,False,None,a,1,3,0.0,369,177,8,50850,50850,3858,3858,1.8,1.8,Saliba,0
0,0,0,None,None,0,479683,None,,0,0,0,0,0.0,484,195,None,,0,3,2.1,2.1,0,Marcus,0.0,0,0,0.0,485,195,27,False,0.0,481,193,0,,None,50,0,0,None,0,,479683.jpg,0.0,0,0,Oliveira Alencar,0.1,False,None,a,1,3,0.0,473,189,0,136,136,847,847,0.0,0.0,Marquinhos,0
0,0,7,None,None,1,205651,None,,0,0,0,0,3.2,107,12,None,,0,4,3.1,3.1,2,Gabriel,2.0,0,0,4.9,52,8,28,False,7.4,128,8,82,,None,80,0,0,None,0,,205651.jpg,2.0,0,0,Fernando de Jesus,74.8,False,None,a,1,3,38.0,17,7,2,27537,27537,77196,77196,0.2,0.2,Jesus,0
