element,position,multiplier,is_captain,is_vice_captain
307,1,1,False,False
146,2,1,False,False
306,3,1,False,False
357,4,1,False,False
285,5,1,False,False
19,6,1,False,False
283,7,2,True,False
335,8,1,False,False
374,9,1,False,False
427,10,1,False,False
28,11,1,False,True
254,12,0,False,False
45,13,0,False,False
295,14,0,False,False
237,15,0,False,False
